,index,Longitude,Latitude,geometry,Severity,Number Of Casualties,Day,Road Type,Speed Limit,Junction Detail,Junction Control,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Year,Month,Hour,index_right,dis
892,934,-0.182268,51.549804,POINT (526131.7673620171 185000.329646877),3 slight,2,Thursday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2015,1,18,1634.0,11.882056342402695
893,935,-0.138689,51.529067,POINT (529211.816442802 182770.2725898302),3 slight,1,Sunday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,2 road-wet,0 none,0 none,2015,3,5,860.0,3.2887503845085955
895,937,-0.146193,51.531021,POINT (528685.8154025339 182974.3510470036),3 slight,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,10,7,662.0,7.19873638895438
897,939,-0.19095,51.548005,POINT (525534.781079567 184785.349350124),3 slight,1,Friday,3 dual cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,4 pelican or similar,1 daylight,8 other,1 road-dry,0 none,0 none,2019,8,18,1653.0,11.549605527239168
898,940,-0.133639,51.526361,POINT (529569.7720775685 182478.277922062),3 slight,1,Tuesday,3 dual cwy,2 30 mph,6 crossroads,2 auto sig,4 pelican or similar,1 daylight,5 raining/high winds,2 road-wet,0 none,0 none,2019,12,8,812.0,1.8936382986248843
901,943,-0.146674,51.556801,POINT (528579.821304873 185840.3530001123),3 slight,1,Friday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,12,11,1442.0,6.461418778345483
903,945,-0.138725,51.528546,POINT (529210.7932424134 182712.2718146736),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,4,13,859.0,5.37196611399694
907,949,-0.130418,51.526868,POINT (529791.7607500232 182540.3622513629),3 slight,1,Sunday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2015,1,19,314.0,6.451814560278416
908,951,-0.143986,51.538504,POINT (528817.7813482897 183810.3722988865),3 slight,1,Thursday,3 dual cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2019,9,22,641.0,2.636782454457188
909,952,-0.121209,51.530974,POINT (530418.8238359693 183013.3268881144),3 slight,1,Tuesday,2 one-way st,2 30 mph,6 crossroads,2 auto sig,9 unknown (s/r),1 daylight,1 fine,1 road-dry,0 none,0 none,2019,12,11,3.0,18.74079094853799
912,956,-0.142849,51.55791,POINT (528841.8397115032 185970.4045461337),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,6,13,1382.0,7.314523708695088
914,958,-0.131096,51.517346,POINT (529771.7753445924 181480.2789848645),2 serious,1,Sunday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2016,3,3,749.0,12.177634035277407
915,959,-0.132101,51.526247,POINT (529676.7812889223 182468.3230771259),3 slight,1,Friday,7 slip rd,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,2 raining,2 road-wet,0 none,0 none,2019,12,23,781.0,17.397601519769548
916,960,-0.144822,51.537797,POINT (528761.8000814456 183730.2804398513),3 slight,1,Friday,2 one-way st,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,10,19,633.0,7.805121207785463
919,963,-0.152766,51.537473,POINT (528211.7998906651 183680.3099882068),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,8,16,1037.0,6.95149152052468
920,964,-0.122845,51.518203,POINT (530341.7858385431 181590.2326041181),3 slight,1,Thursday,2 one-way st,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,2 dark,1 fine,3 road-snow,0 none,0 none,2015,1,23,231.0,5.7496867189610805
921,965,-0.128717,51.515599,POINT (529941.7984304882 181290.2243407605),3 slight,1,Friday,2 one-way st,1 <= 20 mph,3 t/stag jun,2 auto sig,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,3,16,327.0,18.242701088113755
922,966,-0.14224,51.540994,POINT (528931.8313904849 184090.3440001574),3 slight,2,Sunday,3 dual cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2017,11,3,607.0,11.195557824377438
925,969,-0.174974,51.544655,POINT (526651.7547571745 184440.328362026),3 slight,1,Monday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,2,12,1848.0,0.3365934649580713
926,970,-0.146512,51.556529,POINT (528591.8177196747 185810.3899435554),3 slight,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,6,8,1439.0,12.572902814524102
927,971,-0.116547,51.520621,POINT (530771.8121896429 181870.3500076674),2 serious,1,Wednesday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,2 road-wet,0 none,0 none,2018,2,8,144.0,11.320014080811905
928,972,-0.130845,51.527333,POINT (529760.8206496852 182591.3152885112),3 slight,1,Tuesday,3 dual cwy,2 30 mph,6 crossroads,9 unknown (s/r),9 unknown (s/r),1 daylight,1 fine,1 road-dry,9 unknown (s/r),0 none,2018,3,11,817.0,2.033650161530835
929,973,-0.175933,51.549526,POINT (526571.7513663382 184980.3483055073),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,3,16,1189.0,4.033299284119244
930,974,-0.137632,51.540831,POINT (529251.8311319742 184080.3424271619),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,7,7,476.0,7.855108955988848
935,980,-0.115959,51.524388,POINT (530801.8188499021 182290.3037462767),3 slight,1,Tuesday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,1,10,111.0,2.541096240494172
937,983,-0.126376,51.513305,POINT (530110.7546739158 181039.2794148479),3 slight,1,Tuesday,2 one-way st,1 <= 20 mph,3 t/stag jun,9 unknown (s/r),0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2019,8,19,247.0,0.3718299945093667
940,987,-0.177263,51.555931,POINT (526461.7908199552 185690.3170302292),3 slight,1,Thursday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,6,13,1475.0,7.241458736092795
944,993,-0.126003,51.529045,POINT (530091.809476701 182790.2872044538),3 slight,1,Saturday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,9 unknown,1 road-dry,0 none,0 none,2016,10,4,44.0,17.947502565802818
945,994,-0.122966,51.529267,POINT (530301.829392537 182820.3742158386),3 slight,1,Tuesday,9 unknown,1 <= 20 mph,6 crossroads,9 unknown (s/r),9 unknown (s/r),2 dark,1 fine,1 road-dry,0 none,0 none,2018,6,23,45.0,1.8251208508050163
946,995,-0.114848,51.523381,POINT (530881.7731698558 182180.306809293),3 slight,1,Friday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,2 raining,2 road-wet,0 none,0 none,2017,7,19,120.0,11.710144233483998
947,996,-0.117567,51.520367,POINT (530701.7762861624 181840.283449823),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,2 raining,2 road-wet,0 none,0 none,2017,10,11,186.0,8.256143150832198
948,997,-0.125884,51.514385,POINT (530141.8170670198 181160.2533155302),3 slight,1,Friday,2 one-way st,2 30 mph,6 crossroads,9 unknown (s/r),0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,12,17,250.0,7.69017566609028
949,1000,-0.178678,51.556277,POINT (526362.7422549271 185726.3504010794),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,4 roadworks,0 none,2019,5,23,1476.0,2.811850975804849
951,1002,-0.138508,51.526457,POINT (529231.7551556171 182480.3497550514),2 serious,1,Thursday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,4,8,881.0,10.108751624326265
952,1003,-0.12621,51.545056,POINT (530031.8483210214 184570.4051578222),3 slight,2,Sunday,6 single cwy,1 <= 20 mph,2 mini,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,2 road-wet,0 none,0 none,2016,2,7,28.0,11.111743928535958
953,1004,-0.131624,51.543164,POINT (529661.8263769317 184350.4049131759),3 slight,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2015,7,22,350.0,0.6198978125769752
957,1008,-0.139252,51.532592,POINT (529162.7961738908 183161.2733499726),3 slight,1,Saturday,3 dual cwy,2 30 mph,6 crossroads,4 give way/uncontrolled,1 zebra,2 dark,2 raining,2 road-wet,0 none,0 none,2019,12,21,1947.0,13.92745630953982
958,1009,-0.126077,51.516726,POINT (530121.7596496497 181420.2378678096),3 slight,1,Friday,2 one-way st,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,4,10,242.0,1.9189000616964136
959,1010,-0.168127,51.553541,POINT (527101.7714676019 185440.3601318115),3 slight,1,Thursday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,5,8,1130.0,1.2802291884111692
960,1011,-0.179996,51.541676,POINT (526311.7761758242 184100.3738190969),2 serious,1,Wednesday,6 single cwy,1 <= 20 mph,99 unknown (s/r),9 unknown (s/r),1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,8,16,1643.0,4.177809045794235
961,1012,-0.189741,51.541053,POINT (525637.7371286338 184014.3264619973),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,6 crossroads,9 unknown (s/r),9 unknown (s/r),2 dark,1 fine,1 road-dry,0 none,0 none,2019,3,20,1664.0,2.8223729176947367
963,1014,-0.125175,51.521118,POINT (530171.8281351503 181910.2469221115),3 slight,1,Thursday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,3,17,261.0,11.07624835186506
964,1015,-0.16704,51.551869,POINT (527181.7876276606 185256.3136642638),2 serious,1,Friday,3 dual cwy,2 30 mph,3 t/stag jun,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,1 vehicle load in cwy,2019,8,8,1120.0,9.93577834714597
965,1016,-0.120321,51.526976,POINT (530491.8366855372 182570.3165467668),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,10,10,215.0,12.90654077242376
966,1017,-0.128425,51.515685,POINT (529961.8136125279 181300.3059477481),3 slight,2,Monday,6 single cwy,1 <= 20 mph,9 other jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,4 roadworks,2 other object in cwy,2017,9,15,327.0,11.450486665793465
969,1020,-0.13445,51.519917,POINT (529531.7856158713 181760.2461124304),3 slight,4,Sunday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,4,11,804.0,16.290358690450123
970,1021,-0.145906,51.525315,POINT (528721.800686468 182340.3252521288),3 slight,1,Thursday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,2 raining,2 road-wet,0 none,0 none,2018,1,9,897.0,11.078528896089916
971,1022,-0.119176,51.515591,POINT (530603.8018647551 181306.3053140522),3 slight,1,Thursday,3 dual cwy,2 30 mph,3 t/stag jun,2 auto sig,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,3,23,192.0,4.176879944454682
973,1024,-0.196847,51.540767,POINT (525145.7581518699 183970.3523658678),3 slight,1,Friday,3 dual cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,7,14,1747.0,15.979925945807132
975,1026,-0.151526,51.546716,POINT (528271.8213162203 184710.3438203055),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,9 unknown (s/r),2 dark,1 fine,2 road-wet,0 none,0 none,2017,2,18,923.0,17.545267979529218
977,1029,-0.145627,51.560562,POINT (528641.795241626 186260.4329438853),3 slight,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2015,10,19,1376.0,12.99706021369442
979,1031,-0.120562,51.517627,POINT (530501.822604612 181530.2449416689),3 slight,1,Monday,3 dual cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,10,12,201.0,9.208403726560439
982,1034,-0.111719,51.522341,POINT (531101.8188851848 182070.2520815067),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,17,105.0,14.97845313646454
983,1035,-0.141721,51.546651,POINT (528951.8405148991 184720.3404624625),2 serious,1,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,8 central refuge,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,9,14,593.0,15.92343088412309
984,1036,-0.153761,51.567038,POINT (528059.8099314607 186966.3308076887),3 slight,1,Friday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,2 road-wet,0 none,0 none,2018,6,10,1281.0,2.951019548220421
985,1037,-0.191449,51.549964,POINT (525494.797177569 185002.3444830659),2 serious,2,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,1,14,1673.0,18.522410284011208
987,1039,-0.136087,51.522192,POINT (529411.7725577602 182010.3406375171),3 slight,1,Thursday,2 one-way st,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,4,9,823.0,15.56351697962212
991,1043,-0.169334,51.53856,POINT (527059.7878297335 183772.3080380338),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,4 roadworks,0 none,2019,6,8,1160.0,10.460984372950334
993,1045,-0.116514,51.517922,POINT (530781.8268402925 181570.2707953861),3 slight,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,4,19,145.0,7.942162767077253
994,1046,-0.175302,51.543671,POINT (526631.741037417 184330.3355665256),3 slight,1,Thursday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,12,13,1198.0,11.680016415232464
996,1049,-0.116979,51.524135,POINT (530731.7861985208 182260.3478640665),3 slight,1,Saturday,6 single cwy,2 30 mph,6 crossroads,4 give way/uncontrolled,1 zebra,2 dark,9 unknown,9 unknown (s/r),9 unknown (s/r),9 unknown (s/r),2016,11,17,170.0,4.3555821660209535
998,1052,-0.187425,51.539812,POINT (525801.7584653336 183880.2979222406),3 slight,2,Saturday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,20,1638.0,9.039773686434456
999,1053,-0.133543,51.545613,POINT (529521.8124900018 184619.3469817289),3 slight,1,Friday,6 single cwy,2 30 mph,7 multi jun,2 auto sig,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2019,6,0,400.0,4.6447374479878905
1003,1058,-0.145671,51.54175,POINT (528691.7801396711 184168.3780503412),3 slight,1,Tuesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,9 unknown (s/r),0 none,2019,11,20,685.0,9.18806646466067
1004,1059,-0.133395,51.54571,POINT (529531.7991376407 184630.3956321107),3 slight,1,Tuesday,3 dual cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,13,400.0,16.152487058209637
1005,1061,-0.123676,51.515519,POINT (530291.7849420416 181290.2837398893),3 slight,1,Saturday,2 one-way st,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,2 raining,2 road-wet,0 none,0 none,2015,6,19,235.0,11.270663128493545
1008,1066,-0.175752,51.539631,POINT (526611.7410104162 183880.2904326821),3 slight,1,Thursday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,9,14,1217.0,1.8271278171929217
1010,1071,-0.205887,51.550707,POINT (524491.7679639658 185060.3193523047),3 slight,2,Friday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,10,15,1791.0,5.949407938775181
1011,1072,-0.125852,51.522892,POINT (530119.8090266031 182106.3190588497),3 slight,1,Thursday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,3 snowing,2 road-wet,0 none,0 none,2017,12,16,274.0,9.805760804295465
1017,1078,-0.148239,51.535333,POINT (528531.7694353063 183450.2697280729),3 slight,1,Thursday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2015,8,2,733.0,18.285350959881278
1018,1079,-0.130258,51.52021,POINT (529821.778253042 181800.2514152522),3 slight,1,Thursday,2 one-way st,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,9,13,770.0,17.361132964105725
1019,1080,-0.183586,51.561263,POINT (526008.7426168814 186272.3581174092),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2019,2,21,1325.0,11.476146114322026
1020,1081,-0.137112,51.533089,POINT (529309.812923291 183220.3187370962),2 serious,1,Saturday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2019,2,18,432.0,3.1078854277310244
1021,1082,-0.137849,51.52141,POINT (529291.7506649048 181920.2671173409),3 slight,1,Monday,2 one-way st,1 <= 20 mph,6 crossroads,9 unknown (s/r),1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,5,9,842.0,3.330960154769918
1022,1083,-0.135943,51.522189,POINT (529421.7707403788 182010.2614971318),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,13,823.0,15.491398599159925
1023,1084,-0.141241,51.537201,POINT (529011.8232732514 183670.3063522068),3 slight,1,Saturday,2 one-way st,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,7,14,635.0,4.507048832635977
1028,1090,-0.114161,51.522561,POINT (530931.7810334862 182090.3479935818),3 slight,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,2 raining,2 road-wet,0 none,0 none,2015,12,18,122.0,11.303161281538763
1030,1092,-0.139197,51.534291,POINT (529161.8054544871 183350.3060085398),1 fatal,1,Saturday,6 single cwy,2 30 mph,5 slip road,4 give way/uncontrolled,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2016,11,1,486.0,11.841703857956666
1032,1094,-0.181196,51.5586,POINT (526181.7670766874 185980.3360820395),3 slight,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,10,1490.0,4.41452031050915
1033,1095,-0.122438,51.531596,POINT (530331.8061963292 183080.3073906755),3 slight,1,Friday,9 unknown,2 30 mph,3 t/stag jun,9 unknown (s/r),9 unknown (s/r),2 dark,9 unknown,9 unknown (s/r),9 unknown (s/r),9 unknown (s/r),2017,2,18,2.0,16.637592070105697
1036,1098,-0.172293,51.543175,POINT (526841.7646022503 184280.3866884065),3 slight,2,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2016,7,16,1201.0,18.532657240537112
1037,1099,-0.125881,51.542532,POINT (530061.851403357 184290.310629179),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,10,15,25.0,8.253325153853968
1038,1100,-0.128083,51.51701,POINT (529981.7734246083 181448.2576042274),3 slight,1,Thursday,2 one-way st,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,2 raining,2 road-wet,0 none,0 none,2019,4,10,331.0,14.12434492754997
1039,1102,-0.136792,51.536681,POINT (529321.8341669781 183620.3287215737),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,3 t/stag jun,9 unknown (s/r),1 zebra,1 daylight,1 fine,1 road-dry,9 unknown (s/r),9 unknown (s/r),2017,4,18,495.0,15.98785370952473
1044,1107,-0.153625,51.551875,POINT (528111.8043418167 185280.3722783685),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,8,15,935.0,7.1795922279736
1045,1109,-0.137066,51.522927,POINT (529341.7756787572 182090.3459100885),3 slight,1,Thursday,2 one-way st,1 <= 20 mph,3 t/stag jun,2 auto sig,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2017,12,21,843.0,18.039246173223116
1046,1110,-0.138689,51.529085,POINT (529211.7655218313 182772.2742608281),3 slight,1,Monday,6 single cwy,2 30 mph,9 other jun,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,8,6,860.0,2.4052915335933998
1047,1111,-0.132275,51.518462,POINT (529686.8086739599 181602.29386719),3 slight,1,Saturday,2 one-way st,1 <= 20 mph,3 t/stag jun,2 auto sig,4 pelican or similar,2 dark,1 fine,1 road-dry,4 roadworks,0 none,2019,3,14,761.0,11.53670606028802
1049,1114,-0.122216,51.533481,POINT (530341.823715539 183290.3216558723),3 slight,2,Sunday,6 single cwy,1 <= 20 mph,7 multi jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2018,9,20,61.0,19.90489734275909
1051,1116,-0.173651,51.541667,POINT (526751.7858765962 184110.3382569444),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,7 multi jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,12,11,1242.0,18.811528289074044
1052,1117,-0.130975,51.527326,POINT (529751.8230913525 182590.3065111053),3 slight,1,Thursday,3 dual cwy,3 40 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2015,4,0,817.0,8.16953877641952
1055,1120,-0.125755,51.522809,POINT (530126.7744909576 182097.2615087427),2 serious,1,Thursday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,11,10,274.0,1.9220269237884056
1061,1126,-0.137411,51.540944,POINT (529266.8363172337 184093.2986614411),3 slight,1,Monday,2 one-way st,1 <= 20 mph,3 t/stag jun,3 stop sign,9 unknown (s/r),1 daylight,1 fine,1 road-dry,0 none,0 none,2018,10,18,476.0,12.533910289274566
1062,1127,-0.128569,51.515687,POINT (529951.8168256641 181300.2728435557),3 slight,1,Thursday,2 one-way st,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,12,13,327.0,13.929872362717576
1064,1129,-0.144076,51.538415,POINT (528811.7911018434 183800.316787591),3 slight,1,Sunday,9 unknown,1 <= 20 mph,0 no jun in 20m,-2 not applicable,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,11,15,641.0,14.12141258274734
1068,1134,-0.12097,51.530476,POINT (530436.8229790252 182958.3731408723),3 slight,1,Tuesday,2 one-way st,1 <= 20 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,4 fine/high winds,2 road-wet,0 none,0 none,2019,12,18,6.0,13.431297688937294
1072,1138,-0.148594,51.55854,POINT (528441.8310914877 186030.3669112518),3 slight,2,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,12,13,1372.0,13.95527574977913
1074,1140,-0.13369,51.545535,POINT (529511.8412286389 184610.4129998288),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,7 multi jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,8,20,400.0,13.122082062139386
1075,1141,-0.13809,51.55082,POINT (529191.7973140135 185190.3529638852),3 slight,1,Sunday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2015,1,19,553.0,6.596027953768783
1077,1143,-0.128689,51.52684,POINT (529911.773571674 182540.3144475874),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,1 auth person,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,11,21,320.0,10.318216533425822
