,index,Longitude,Latitude,geometry,Severity,Number Of Casualties,Day,Road Type,Speed Limit,Junction Detail,Junction Control,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Year,Month,Hour
888,930,-0.170454,51.539405,POINT (526979.767869361 183864.3329252271),3 slight,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,2,7
889,931,-0.175889,51.539813,POINT (526601.735874828 183900.292784642),3 slight,1,Monday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,9 unknown (s/r),0 none,2016,11,16
890,932,-0.12232,51.534472,POINT (530331.7823952507 183400.3394918877),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,1,14
891,933,-0.165316,51.55026,POINT (527305.7969850695 185080.3818435022),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,7,14
892,934,-0.182268,51.549804,POINT (526131.7673620171 185000.329646877),3 slight,2,Thursday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2015,1,18
893,935,-0.138689,51.529067,POINT (529211.816442802 182770.2725898302),3 slight,1,Sunday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,2 road-wet,0 none,0 none,2015,3,5
894,936,-0.135102,51.537823,POINT (529435.7997157373 183750.3099872803),2 serious,1,Thursday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,5,11
895,937,-0.146193,51.531021,POINT (528685.8154025339 182974.3510470036),3 slight,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,10,7
896,938,-0.135619,51.544216,POINT (529381.8279547776 184460.3240004557),3 slight,1,Friday,3 dual cwy,2 30 mph,8 priv drive,3 stop sign,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,7,10
897,939,-0.19095,51.548005,POINT (525534.781079567 184785.349350124),3 slight,1,Friday,3 dual cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,4 pelican or similar,1 daylight,8 other,1 road-dry,0 none,0 none,2019,8,18
898,940,-0.133639,51.526361,POINT (529569.7720775685 182478.277922062),3 slight,1,Tuesday,3 dual cwy,2 30 mph,6 crossroads,2 auto sig,4 pelican or similar,1 daylight,5 raining/high winds,2 road-wet,0 none,0 none,2019,12,8
899,941,-0.17868,51.556583,POINT (526361.7562409248 185760.3756713337),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,2 raining,2 road-wet,0 none,0 none,2017,11,7
900,942,-0.146537,51.53108,POINT (528661.7895364119 182980.3076058599),2 serious,1,Sunday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,7,8
901,943,-0.146674,51.556801,POINT (528579.821304873 185840.3530001123),3 slight,1,Friday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,12,11
902,944,-0.119712,51.527776,POINT (530531.7940191366 182660.3648632483),3 slight,1,Friday,6 single cwy,1 <= 20 mph,8 priv drive,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,1,9
903,945,-0.138725,51.528546,POINT (529210.7932424134 182712.2718146736),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,4,13
904,946,-0.105936,51.519281,POINT (531511.807074008 181740.338501408),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,12,8
905,947,-0.190369,51.54921,POINT (525571.7490693564 184920.3477756057),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2016,3,18
906,948,-0.200921,51.544966,POINT (524851.7626319521 184430.3469755873),3 slight,1,Sunday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,8,16
907,949,-0.130418,51.526868,POINT (529791.7607500232 182540.3622513629),3 slight,1,Sunday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2015,1,19
908,951,-0.143986,51.538504,POINT (528817.7813482897 183810.3722988865),3 slight,1,Thursday,3 dual cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2019,9,22
909,952,-0.121209,51.530974,POINT (530418.8238359693 183013.3268881144),3 slight,1,Tuesday,2 one-way st,2 30 mph,6 crossroads,2 auto sig,9 unknown (s/r),1 daylight,1 fine,1 road-dry,0 none,0 none,2019,12,11
910,953,-0.136383,51.525524,POINT (529381.8011746258 182380.3487563666),3 slight,1,Friday,7 slip rd,1 <= 20 mph,5 slip road,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,10,8
911,955,-0.145801,51.527894,POINT (528721.8166440956 182627.3049428784),3 slight,1,Friday,6 single cwy,2 30 mph,3 t/stag jun,3 stop sign,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,8
912,956,-0.142849,51.55791,POINT (528841.8397115032 185970.4045461337),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,6,13
913,957,-0.131095,51.527571,POINT (529742.8033922081 182617.3388268945),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,2 road-wet,0 none,0 none,2018,1,18
914,958,-0.131096,51.517346,POINT (529771.7753445924 181480.2789848645),2 serious,1,Sunday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2016,3,3
915,959,-0.132101,51.526247,POINT (529676.7812889223 182468.3230771259),3 slight,1,Friday,7 slip rd,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,2 raining,2 road-wet,0 none,0 none,2019,12,23
916,960,-0.144822,51.537797,POINT (528761.8000814456 183730.2804398513),3 slight,1,Friday,2 one-way st,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,10,19
917,961,-0.145755,51.525492,POINT (528731.7764810354 182360.2737853206),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,2 road-wet,0 none,0 none,2017,6,4
918,962,-0.142171,51.542702,POINT (528931.7924913005 184280.4023046774),3 slight,1,Saturday,2 one-way st,1 <= 20 mph,3 t/stag jun,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,7,18
919,963,-0.152766,51.537473,POINT (528211.7998906651 183680.3099882068),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,8,16
920,964,-0.122845,51.518203,POINT (530341.7858385431 181590.2326041181),3 slight,1,Thursday,2 one-way st,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,2 dark,1 fine,3 road-snow,0 none,0 none,2015,1,23
921,965,-0.128717,51.515599,POINT (529941.7984304882 181290.2243407605),3 slight,1,Friday,2 one-way st,1 <= 20 mph,3 t/stag jun,2 auto sig,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,3,16
922,966,-0.14224,51.540994,POINT (528931.8313904849 184090.3440001574),3 slight,2,Sunday,3 dual cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2017,11,3
923,967,-0.197015,51.559519,POINT (525082.7079619081 186055.3836938777),2 serious,1,Friday,3 dual cwy,3 40 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,9,7
924,968,-0.12457,51.539715,POINT (530160.7894465864 183979.3788895822),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,9 unknown,2 road-wet,0 none,0 none,2017,3,22
925,969,-0.174974,51.544655,POINT (526651.7547571745 184440.328362026),3 slight,1,Monday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,2,12
926,970,-0.146512,51.556529,POINT (528591.8177196747 185810.3899435554),3 slight,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,6,8
927,971,-0.116547,51.520621,POINT (530771.8121896429 181870.3500076674),2 serious,1,Wednesday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,2 road-wet,0 none,0 none,2018,2,8
928,972,-0.130845,51.527333,POINT (529760.8206496852 182591.3152885112),3 slight,1,Tuesday,3 dual cwy,2 30 mph,6 crossroads,9 unknown (s/r),9 unknown (s/r),1 daylight,1 fine,1 road-dry,9 unknown (s/r),0 none,2018,3,11
929,973,-0.175933,51.549526,POINT (526571.7513663382 184980.3483055073),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,3,16
930,974,-0.137632,51.540831,POINT (529251.8311319742 184080.3424271619),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,7,7
931,975,-0.177679,51.541909,POINT (526471.7997384022 184130.2842757091),3 slight,2,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,2 other object in cwy,2017,1,15
932,977,-0.142343,51.538478,POINT (528931.7936316736 183810.3729106928),3 slight,2,Friday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,4,14
933,978,-0.125722,51.518339,POINT (530141.7957649771 181600.2399900919),3 slight,1,Thursday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,5,12
934,979,-0.127196,51.528075,POINT (530011.8212605825 182680.3007856967),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2016,8,18
935,980,-0.115959,51.524388,POINT (530801.8188499021 182290.3037462767),3 slight,1,Tuesday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,1,10
936,981,-0.144709,51.540583,POINT (528761.7794929291 184040.2940744171),3 slight,1,Sunday,6 single cwy,2 30 mph,3 t/stag jun,9 unknown (s/r),9 unknown (s/r),2 dark,9 unknown,9 unknown (s/r),9 unknown (s/r),9 unknown (s/r),2018,3,20
937,983,-0.126376,51.513305,POINT (530110.7546739158 181039.2794148479),3 slight,1,Tuesday,2 one-way st,1 <= 20 mph,3 t/stag jun,9 unknown (s/r),0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2019,8,19
938,984,-0.191462,51.536188,POINT (525531.769227664 183470.3631607235),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,3,16
939,986,-0.179939,51.546711,POINT (526301.7979335163 184660.3882405811),3 slight,1,Monday,2 one-way st,1 <= 20 mph,3 t/stag jun,2 auto sig,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,1,8
940,987,-0.177263,51.555931,POINT (526461.7908199552 185690.3170302292),3 slight,1,Thursday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,6,13
941,990,-0.139682,51.537257,POINT (529119.781599724 183679.2818751659),3 slight,1,Wednesday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2019,7,9
942,991,-0.142376,51.539431,POINT (528926.8141329534 183916.2923703718),3 slight,1,Saturday,2 one-way st,1 <= 20 mph,6 crossroads,2 auto sig,4 pelican or similar,2 dark,2 raining,2 road-wet,0 none,0 none,2019,12,18
943,992,-0.166199,51.551263,POINT (527241.7819430616 185190.3850206078),3 slight,1,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,2 road-wet,0 none,0 none,2016,4,16
944,993,-0.126003,51.529045,POINT (530091.809476701 182790.2872044538),3 slight,1,Saturday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,9 unknown,1 road-dry,0 none,0 none,2016,10,4
945,994,-0.122966,51.529267,POINT (530301.829392537 182820.3742158386),3 slight,1,Tuesday,9 unknown,1 <= 20 mph,6 crossroads,9 unknown (s/r),9 unknown (s/r),2 dark,1 fine,1 road-dry,0 none,0 none,2018,6,23
946,995,-0.114848,51.523381,POINT (530881.7731698558 182180.306809293),3 slight,1,Friday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,2 raining,2 road-wet,0 none,0 none,2017,7,19
947,996,-0.117567,51.520367,POINT (530701.7762861624 181840.283449823),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,2 raining,2 road-wet,0 none,0 none,2017,10,11
948,997,-0.125884,51.514385,POINT (530141.8170670198 181160.2533155302),3 slight,1,Friday,2 one-way st,2 30 mph,6 crossroads,9 unknown (s/r),0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,12,17
949,1000,-0.178678,51.556277,POINT (526362.7422549271 185726.3504010794),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,4 roadworks,0 none,2019,5,23
950,1001,-0.146937,51.53543,POINT (528621.7937273656 183463.3428382397),3 slight,1,Wednesday,3 dual cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,9 unknown (s/r),2019,10,12
951,1002,-0.138508,51.526457,POINT (529231.7551556171 182480.3497550514),2 serious,1,Thursday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,4,8
952,1003,-0.12621,51.545056,POINT (530031.8483210214 184570.4051578222),3 slight,2,Sunday,6 single cwy,1 <= 20 mph,2 mini,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,2 road-wet,0 none,0 none,2016,2,7
953,1004,-0.131624,51.543164,POINT (529661.8263769317 184350.4049131759),3 slight,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2015,7,22
954,1005,-0.105895,51.520269,POINT (531511.8076299999 181850.2810034883),3 slight,1,Friday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2015,4,21
955,1006,-0.160411,51.547791,POINT (527652.7673973693 184814.3587618621),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,9 other jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,3,16
956,1007,-0.141707,51.547011,POINT (528951.7941938572 184760.3986667515),3 slight,1,Tuesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,7,10
957,1008,-0.139252,51.532592,POINT (529162.7961738908 183161.2733499726),3 slight,1,Saturday,3 dual cwy,2 30 mph,6 crossroads,4 give way/uncontrolled,1 zebra,2 dark,2 raining,2 road-wet,0 none,0 none,2019,12,21
958,1009,-0.126077,51.516726,POINT (530121.7596496497 181420.2378678096),3 slight,1,Friday,2 one-way st,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,4,10
959,1010,-0.168127,51.553541,POINT (527101.7714676019 185440.3601318115),3 slight,1,Thursday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,5,8
960,1011,-0.179996,51.541676,POINT (526311.7761758242 184100.3738190969),2 serious,1,Wednesday,6 single cwy,1 <= 20 mph,99 unknown (s/r),9 unknown (s/r),1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,8,16
961,1012,-0.189741,51.541053,POINT (525637.7371286338 184014.3264619973),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,6 crossroads,9 unknown (s/r),9 unknown (s/r),2 dark,1 fine,1 road-dry,0 none,0 none,2019,3,20
962,1013,-0.195642,51.54243,POINT (525224.7576799465 184157.3464807398),2 serious,1,Friday,3 dual cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,3,15
963,1014,-0.125175,51.521118,POINT (530171.8281351503 181910.2469221115),3 slight,1,Thursday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,3,17
964,1015,-0.16704,51.551869,POINT (527181.7876276606 185256.3136642638),2 serious,1,Friday,3 dual cwy,2 30 mph,3 t/stag jun,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,1 vehicle load in cwy,2019,8,8
965,1016,-0.120321,51.526976,POINT (530491.8366855372 182570.3165467668),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,10,10
966,1017,-0.128425,51.515685,POINT (529961.8136125279 181300.3059477481),3 slight,2,Monday,6 single cwy,1 <= 20 mph,9 other jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,4 roadworks,2 other object in cwy,2017,9,15
967,1018,-0.191204,51.546345,POINT (525521.7348669837 184600.3135638349),3 slight,1,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,5,17
968,1019,-0.144354,51.524481,POINT (528831.8120515364 182250.310298346),3 slight,1,Sunday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,1 zebra,1 daylight,8 other,1 road-dry,0 none,0 none,2018,6,18
969,1020,-0.13445,51.519917,POINT (529531.7856158713 181760.2461124304),3 slight,4,Sunday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,4,11
970,1021,-0.145906,51.525315,POINT (528721.800686468 182340.3252521288),3 slight,1,Thursday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,2 raining,2 road-wet,0 none,0 none,2018,1,9
971,1022,-0.119176,51.515591,POINT (530603.8018647551 181306.3053140522),3 slight,1,Thursday,3 dual cwy,2 30 mph,3 t/stag jun,2 auto sig,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,3,23
972,1023,-0.146048,51.528914,POINT (528701.8096018088 182740.2989142648),3 slight,1,Sunday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,8,19
973,1024,-0.196847,51.540767,POINT (525145.7581518699 183970.3523658678),3 slight,1,Friday,3 dual cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,7,14
974,1025,-0.125297,51.531489,POINT (530133.8154266353 183063.3237144538),3 slight,1,Thursday,3 dual cwy,1 <= 20 mph,9 other jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,3,14
975,1026,-0.151526,51.546716,POINT (528271.8213162203 184710.3438203055),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,9 unknown (s/r),2 dark,1 fine,2 road-wet,0 none,0 none,2017,2,18
976,1027,-0.184985,51.550386,POINT (525941.7884730997 185060.3733133021),2 serious,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,16
977,1029,-0.145627,51.560562,POINT (528641.795241626 186260.4329438853),3 slight,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2015,10,19
978,1030,-0.138121,51.525326,POINT (529261.800297842 182355.2611877843),3 slight,1,Thursday,6 single cwy,2 30 mph,6 crossroads,4 give way/uncontrolled,5 pedn phase at ats,2 dark,1 fine,1 road-dry,9 unknown (s/r),9 unknown (s/r),2017,2,2
979,1031,-0.120562,51.517627,POINT (530501.822604612 181530.2449416689),3 slight,1,Monday,3 dual cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,10,12
980,1032,-0.121989,51.519728,POINT (530396.8217976803 181761.3417723401),3 slight,1,Thursday,7 slip rd,2 30 mph,0 no jun in 20m,-2 not applicable,9 unknown (s/r),1 daylight,9 unknown,9 unknown (s/r),9 unknown (s/r),9 unknown (s/r),2019,5,12
981,1033,-0.147102,51.542384,POINT (528590.764324168 184236.3672376695),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,2 road-wet,0 none,0 none,2017,3,8
982,1034,-0.111719,51.522341,POINT (531101.8188851848 182070.2520815067),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,17
983,1035,-0.141721,51.546651,POINT (528951.8405148991 184720.3404624625),2 serious,1,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,8 central refuge,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,9,14
984,1036,-0.153761,51.567038,POINT (528059.8099314607 186966.3308076887),3 slight,1,Friday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,2 road-wet,0 none,0 none,2018,6,10
985,1037,-0.191449,51.549964,POINT (525494.797177569 185002.3444830659),2 serious,2,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,1,14
986,1038,-0.135965,51.525886,POINT (529409.7713617525 182421.3431391952),2 serious,1,Wednesday,3 dual cwy,2 30 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,2,7
987,1039,-0.136087,51.522192,POINT (529411.7725577602 182010.3406375171),3 slight,1,Thursday,2 one-way st,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,4,9
988,1040,-0.142295,51.539646,POINT (528931.8240784494 183940.3439022999),3 slight,1,Friday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,3,14
989,1041,-0.162394,51.549045,POINT (527511.7746468466 184950.353536203),3 slight,2,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2017,11,21
990,1042,-0.12331,51.534937,POINT (530261.795483413 183450.287558011),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,8,18
991,1043,-0.169334,51.53856,POINT (527059.7878297335 183772.3080380338),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,4 roadworks,0 none,2019,6,8
992,1044,-0.154503,51.537321,POINT (528091.7658163095 183660.3667839139),3 slight,1,Monday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,2,13
993,1045,-0.116514,51.517922,POINT (530781.8268402925 181570.2707953861),3 slight,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,4,19
994,1046,-0.175302,51.543671,POINT (526631.741037417 184330.3355665256),3 slight,1,Thursday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,12,13
995,1047,-0.14891,51.571018,POINT (528384.8035573992 187417.4247130775),2 serious,1,Tuesday,6 single cwy,1 <= 20 mph,1 roundabout,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,8,11
996,1049,-0.116979,51.524135,POINT (530731.7861985208 182260.3478640665),3 slight,1,Saturday,6 single cwy,2 30 mph,6 crossroads,4 give way/uncontrolled,1 zebra,2 dark,9 unknown,9 unknown (s/r),9 unknown (s/r),9 unknown (s/r),2016,11,17
997,1050,-0.190764,51.553802,POINT (525531.7320347043 185430.3239694842),3 slight,1,Monday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,1,10
