,index,Longitude,Latitude,geometry,Severity,Number Of Casualties,Day,Road Type,Speed Limit,Junction Detail,Junction Control,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Year,Month,Hour
24,24,-0.195506,51.539667,POINT (525241.7671704607 183850.3198286353),3 slight,1,Saturday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,0 no xing facility in 50m,2 dark,1 fine,2 road-wet,0 none,0 none,2015,9,22
25,25,-0.140736,51.549603,POINT (529011.7920548461 185050.3509912196),3 slight,4,Thursday,2 one-way st,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,8,15
26,26,-0.126915,51.520876,POINT (530051.8056243646 181880.2443004082),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,2 raining,2 road-wet,0 none,0 none,2017,5,22
27,27,-0.122626,51.53052,POINT (530321.8371330264 182960.317551659),2 serious,1,Friday,6 single cwy,2 30 mph,9 other jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,15
28,28,-0.11029,51.522049,POINT (531201.7905639152 182040.3398552105),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,17
29,29,-0.126933,51.51692,POINT (530061.8172968242 181440.2908820739),3 slight,1,Friday,2 one-way st,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,2 road-wet,0 none,0 none,2015,11,9
30,30,-0.124215,51.530114,POINT (530212.7815544542 182912.3420137132),2 serious,1,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2019,4,0
31,31,-0.174538,51.550862,POINT (526664.7611889535 185131.3306875849),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,5 raining/high winds,2 road-wet,0 none,0 none,2019,6,15
32,32,-0.189506,51.553495,POINT (525619.7881910308 185398.341962217),3 slight,1,Thursday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,2 dark,2 raining,2 road-wet,0 none,0 none,2019,12,18
33,33,-0.129305,51.525861,POINT (529871.8277156606 182430.3533320565),3 slight,2,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2015,1,20
34,34,-0.120492,51.519335,POINT (530501.8008007 181720.3052604885),3 slight,1,Sunday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2015,1,23
35,35,-0.147514,51.542516,POINT (528561.8236204443 184250.322666732),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,18
